"Tender Number";"Status";"Estimated Value";"Title";"Department";"Location";"Category";"Description";"Published Date"
"BBMP/2023-24/OW/WORK_INDENT2088";"PUBLISHED";"1265800";"Improvements of roads, drains, footpath and Other Allied basic infrastructure works in Indiranagar, Block no.16/2 in ward no. 132 Rajajinagar.";"Bruhat Bengaluru Mahanagara Palike";"BBMP Rajajinagar West";"WORKS";"Improvements of roads, drains, footpath and Other Allied basic infrastructure works in Indiranagar, Block no.16/2 in ward no. 132 Rajajinagar";"2024-09-02 13:20:29"
"RWSSD/2023-24/WS/WORK_INDENT1364/CALL-6";"PUBLISHED";"5261733";"PROVIDING FHTCS TO 110 HOUSEHOLDS IN KASHIPURA HABITATION OF KASIPURA VILLAGE BALLA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 110 HOUSEHOLDS IN KASHIPURA HABITATION OF KASIPURA VILLAGE BALLA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:20:17"
"RWSSD/2023-24/WS/WORK_INDENT1365/CALL-6";"PUBLISHED";"5267222";"PROVIDING FHTCS TO 92 HOUSEHOLDS IN KURUBARAHALLI HABITATION OF KURUBARAHALLI VILLAGE BYRAKURU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 92 HOUSEHOLDS IN KURUBARAHALLI HABITATION OF KURUBARAHALLI VILLAGE BYRAKURU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:20:01"
"DMA/2023-24/SE0817/CALL-3";"PUBLISHED";"49786000";"Providing Catering Services for Indira Canteens in Ballari City Corporation Limits, Ballari";"Directorate of Municipal Administration";"DMA District Urban Development Cell Ballari";"SERVICES";"Providing Catering Services for Indira Canteens in Ballari City Corporation Limits, Ballari";"2024-09-02 13:19:58"
"KFD/2023-24/OW/WORK_INDENT6453";"PUBLISHED";"2164800";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XI of Ballari Range during the year 2024-25 (Unit No. 11)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XI of Ballari Range during the year 2024-25 (Unit No. 11)";"2024-09-02 13:19:45"
"RWSSD/2023-24/WS/WORK_INDENT1367/CALL-6";"PUBLISHED";"5323670";"PROVIDING FHTCS TO 116 HOUSEHOLDS IN G.VADDAHALLI HABITATION OF G.VADDAHALLI VILLAGE GUDIPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 116 HOUSEHOLDS IN G.VADDAHALLI HABITATION OF G.VADDAHALLI VILLAGE GUDIPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:19:40"
"RWSSD/2023-24/WS/WORK_INDENT1368/CALL-6";"PUBLISHED";"5351684";"PROVIDING FHTCS TO 132 HOUSEHOLDS IN N. CHOWDENAHALLI HABITATION OF N. CHOWDENAHALLI VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 132 HOUSEHOLDS IN N. CHOWDENAHALLI HABITATION OF N. CHOWDENAHALLI VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:19:18"
"KFD/2023-24/OW/WORK_INDENT6454";"PUBLISHED";"2164800";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XII of Ballari Range during the year 2024-25 (Unit No. 12)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XII of Ballari Range during the year 2024-25 (Unit No. 12)";"2024-09-02 13:18:57"
"RWSSD/2023-24/WS/WORK_INDENT1369/CALL-6";"PUBLISHED";"5385500";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN GADDUR HABITATION OF MUDIGERE VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN GADDUR HABITATION OF MUDIGERE VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:18:56"
"RWSSD/2023-24/WS/WORK_INDENT1370/CALL-6";"PUBLISHED";"5442693";"PROVIDING FHTCS TO 106 HOUSEHOLDS IN CHIKKANAGAWARA HABITATION OF NAGAVARA VILLAGE MUSTOOR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 106 HOUSEHOLDS IN CHIKKANAGAWARA HABITATION OF NAGAVARA VILLAGE MUSTOOR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:18:37"
"DMA/2023-24/BD/WORK_INDENT6987/CALL-2";"PUBLISHED";"999965";"Construction of hall & Two Rooms on 2nd floor of Govt Urdu Higher Primary School,Yasin Saab Masjid Street Under Kaul Bazar Ballari City.";"Directorate of Municipal Administration";"DMA City Corporation Ballari";"WORKS";"Construction of hall & Two Rooms on 2nd floor of Govt Urdu Higher Primary School, Yasin Saab Masjid Street Under Cowl Bazar Ballari City.";"2024-09-02 13:18:32"
"KFD/2023-24/OW/WORK_INDENT6455";"PUBLISHED";"2164800";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XIII of Ballari Range during the year 2024-25 (Unit No. 13)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF Avinamadagu sy no. 248 & 249 Block-XIII of Ballari Range during the year 2024-25 (Unit No. 13)";"2024-09-02 13:18:18"
"RWSSD/2023-24/WS/WORK_INDENT1371/CALL-6";"PUBLISHED";"5393152";"PROVIDING FHTCS TO 118 HOUSEHOLDS IN KAMASNAHALLI HABITATION OF KAMSANAHALLI VILLAGE GUDIPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 118 HOUSEHOLDS IN KAMASNAHALLI HABITATION OF KAMSANAHALLI VILLAGE GUDIPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:18:15"
"RWSSD/2023-24/WS/WORK_INDENT1373/CALL-6";"PUBLISHED";"5441080";"PROVIDING FHTCS TO 108 HOUSEHOLDS IN MALLAKACHANAHALLI HABITATION OF MALLAKACHANAHALLI VILLAGE BALLA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 108 HOUSEHOLDS IN MALLAKACHANAHALLI HABITATION OF MALLAKACHANAHALLI VILLAGE BALLA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:18:00"
"CEG/2023-24/SE0025/CALL-2";"PUBLISHED";"6500000";"Procurement of CPPM Licenses for existing Aruba ClearPass Policy Manager with OEM Support";"Center for e-Governance";"CEG Head Office Bengalure";"SERVICES";"Procurement of CPPM Licenses for existing Aruba ClearPass Policy Manager with OEM Support";"2024-09-02 13:17:58"
"DMA/2023-24/RD/WORK_INDENT7433/CALL-2";"PUBLISHED";"649250";"Construction of CC Road from Shashavali house to Kareem house at 5th cross Urdhu T.C.H in ward no 28 at Ballari city.";"Directorate of Municipal Administration";"DMA City Corporation Ballari";"WORKS";"Construction of CC Road from Shashavali house to Kareem house at 5th cross Urdhu T.C.H in ward no 28 at Ballari city.";"2024-09-02 13:17:45"
"RWSSD/2023-24/WS/WORK_INDENT1376/CALL-6";"PUBLISHED";"5577200";"PROVIDING FHTCS TO 114 HOUSEHOLDS IN DODDATHIHALLI HABITATION OF DODDATHIHALLI VILLAGE RAJENDRAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 114 HOUSEHOLDS IN DODDATHIHALLI HABITATION OF DODDATHIHALLI VILLAGE RAJENDRAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:17:43"
"PWD/2023-24/BD/WORK_INDENT8198";"PUBLISHED";"5784849";"CONSTRUCTION OF FOUR CLASS ROOMS FOR KHPS GUDAGANHATTI (RC) PRIMARY WITH UPPER PRIMARY SCHOOL UNDER YAMAKANMARADI CONSTITUENCY IN HUKKERI TALUKA OF BELAGAVI DISTRICT UNDER 4059-80-051-0-29-386 DEPARTMENT BUILDINGS. FOR THE YEAR 2023-24";"Public Works Department";"PWD Division Office Chikkodi";"WORKS";"CONSTRUCTION OF FOUR CLASS ROOMS FOR KHPS GUDAGANHATTI (RC) PRIMARY WITH UPPER PRIMARY SCHOOL UNDER YAMAKANMARADI CONSTITUENCY IN HUKKERI TALUKA OF BELAGAVI DISTRICT UNDER 4059-80-051-0-29-386 DEPARTMENT BUILDINGS. FOR THE YEAR 2023-24";"2024-09-02 13:17:43"
"KFD/2023-24/OW/WORK_INDENT6456";"PUBLISHED";"2164800";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF kereramapura Sy. No. 02 & 03 Block-XIV of Ballari Range during the year 2024-25 (Unit No. 14)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF kereramapura Sy. No. 02 & 03 Block-XIV of Ballari Range during the year 2024-25 (Unit No. 14)";"2024-09-02 13:17:39"
"RWSSD/2023-24/WS/WORK_INDENT1103/CALL-6";"PUBLISHED";"5580305";"PROVIDING FHTCS TO 149 HOUSEHOLDS IN KOGILERU HABITATION OF KOGILERU VILLAGE THIMMARAVUTHANAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 149 HOUSEHOLDS IN KOGILERU HABITATION OF KOGILERU VILLAGE THIMMARAVUTHANAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:17:26"
"RWSSD/2023-24/WS/WORK_INDENT1379/CALL-6";"PUBLISHED";"5616990";"PROVIDING FHTCS TO 125 HOUSEHOLDS IN ARAHALLI HABITATION OF ARAHALLI VILLAGE MUDIYANUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 125 HOUSEHOLDS IN ARAHALLI HABITATION OF ARAHALLI VILLAGE MUDIYANUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:17:08"
"KFD/2023-24/OW/WORK_INDENT6457";"PUBLISHED";"2164800";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF kereramapura Sy. No. 01,02 & 03 Block-XV of Ballari Range during the year 2024-25 (Unit No. 15)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 20 Ha at Marutla & Marutla Extension RF kereramapura Sy. No. 01,02 & 03 Block-XV of Ballari Range during the year 2024-25 (Unit No. 15)";"2024-09-02 13:16:54"
"RWSSD/2023-24/WS/WORK_INDENT1385/CALL-6";"PUBLISHED";"5616485";"PROVIDING FHTCS TO 113 HOUSEHOLDS IN ALLALASANDRA HABITATION OF ALLALASANDRA VILLAGE ALANGUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 113 HOUSEHOLDS IN ALLALASANDRA HABITATION OF ALLALASANDRA VILLAGE ALANGUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:16:53"
"PWD/2023-24/BD/WORK_INDENT8201";"PUBLISHED";"7259191";"CONSTRUCTION OF FIVE CLASS ROOMS FOR KHPS HUNNURMASTHOLI PRIMARY WITH UPPER PRIMARY SCHOOL UNDER YAMAKANMARADI CONSTITUENCY IN HUKKERI TALUKA OF BELAGAVI DISTRICT UNDER 4059-80-051-0-29-386 DEPARTMENT BUILDINGS FOR THE YEAR 2023-24";"Public Works Department";"PWD Division Office Chikkodi";"WORKS";"CONSTRUCTION OF FIVE CLASS ROOMS FOR KHPS HUNNURMASTHOLI PRIMARY WITH UPPER PRIMARY SCHOOL UNDER YAMAKANMARADI CONSTITUENCY IN HUKKERI TALUKA OF BELAGAVI DISTRICT UNDER 4059-80-051-0-29-386 DEPARTMENT BUILDINGS FOR THE YEAR 2023-24";"2024-09-02 13:16:34"
"RWSSD/2023-24/WS/WORK_INDENT1386/CALL-6";"PUBLISHED";"5565227";"PROVIDING FHTCS TO 167 HOUSEHOLDS IN MINAJENAHALLI HABITATION OF MINAJENAHALLI VILLAGE O.MITTUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 167 HOUSEHOLDS IN MINAJENAHALLI HABITATION OF MINAJENAHALLI VILLAGE O.MITTUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:16:34"
"KREIS/2023-24/BD/WORK_INDENT168";"PUBLISHED";"105760162";"CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC GIRLS HOSTEL AT DEVANAHALLI TOWN, BENGALURU RURAL DIST. CONSTRUCTION OF (SC) GOVERNMENT HOSTEL FOR COLLEGE GIRLS AT MALUR TOWN, MALUR TALUK, KOLAR DISTRICT. (PACKAGE-6)";"Karnataka Residential Educational Institutions Society";"KREIS Executive Engineer Section Bengaluru";"WORKS";"CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC GIRLS HOSTEL AT DEVANAHALLI TOWN, BENGALURU RURAL DIST. CONSTRUCTION OF (SC) GOVERNMENT HOSTEL FOR COLLEGE GIRLS AT MALUR TOWN, MALUR TALUK, KOLAR DISTRICT. (PACKAGE-6)";"2024-09-02 13:16:25"
"RWSSD/2023-24/WS/WORK_INDENT1390/CALL-6";"PUBLISHED";"5710916";"PROVIDING FHTCS TO 281 HOUSEHOLDS IN ANAHALLI HABITATION OF ANAHALLI VILLAGE KAPPALAMADAGU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 281 HOUSEHOLDS IN ANAHALLI HABITATION OF ANAHALLI VILLAGE KAPPALAMADAGU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:16:18"
"KFD/2023-24/OW/WORK_INDENT6458";"PUBLISHED";"1236100";"Raising of Plantation 11.42 Ha at Ankamanal Sy.No. 01 of Sandur South Range during the year 2024-25 (Unit No. 16)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 11.42 Ha at Ankamanal Sy.No. 01 of Sandur South Range during the year 2024-25 (Unit No. 16)";"2024-09-02 13:16:06"
"RWSSD/2023-24/WS/WORK_INDENT1392/CALL-6";"PUBLISHED";"5620256";"PROVIDING FHTCS TO 155 HOUSEHOLDS IN BEVAHALLI HABITATION OF KUTHANDAHALLI VILLAGE MUDIYANUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 155 HOUSEHOLDS IN BEVAHALLI HABITATION OF KUTHANDAHALLI VILLAGE MUDIYANUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:15:52"
"RWSSD/2023-24/WS/WORK_INDENT1394/CALL-6";"PUBLISHED";"5704179";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN VEERASANDRA HABITATION OF VEERASANDRA VILLAGE ALANGUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN VEERASANDRA HABITATION OF VEERASANDRA VILLAGE ALANGUR G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:15:19"
"KFD/2023-24/OW/WORK_INDENT6459";"PUBLISHED";"618050";"Raising of Plantation 5.71 Ha at Ankamanal Sy.No. 01 of Sandur South Range during the year 2024-25 (Unit No. 17)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Raising of Plantation 5.71 Ha at Ankamanal Sy.No. 01 of Sandur South Range during the year 2024-25 (Unit No. 17)";"2024-09-02 13:15:09"
"RWSSD/2023-24/WS/WORK_INDENT1396/CALL-6";"PUBLISHED";"5731859";"PROVIDING FHTCS TO 184 HOUSEHOLDS IN MANIGATTA MITTA HABITATION OF M.GOLLAHALLI VILLAGE HEBBANI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 184 HOUSEHOLDS IN MANIGATTA MITTA HABITATION OF M.GOLLAHALLI VILLAGE HEBBANI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:15:01"
"RWSSD/2023-24/WS/WORK_INDENT1398/CALL-6";"PUBLISHED";"5882295";"PROVIDING FHTCS TO 128 HOUSEHOLDS IN B.KORAVANUR HABITATION OF KOREVENURU VILLAGE MOTHAKAPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 128 HOUSEHOLDS IN B.KORAVANUR HABITATION OF KOREVENURU VILLAGE MOTHAKAPALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:14:45"
"RWSSD/2023-24/WS/WORK_INDENT1400/CALL-6";"PUBLISHED";"5849838";"PROVIDING FHTCS TO 188 HOUSEHOLDS IN YALAGONDAHALLI HABITATION OF YALAGONDAHALLI VILLAGE DEVARAYASAMUDRA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 188 HOUSEHOLDS IN YALAGONDAHALLI HABITATION OF YALAGONDAHALLI VILLAGE DEVARAYASAMUDRA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:14:30"
"KFD/2023-24/OW/WORK_INDENT6460";"PUBLISHED";"1106600";"Maintenance of one year old plantation 20 Ha at metriki RF thimmlapura village sy No. 13,14 & 25 Block - I of Ballari Range during the year 2024-25 (unit No. 18)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Maintenance of one year old plantation 20 Ha at metriki RF thimmlapura village sy No. 13,14 & 25 Block - I of Ballari Range during the year 2024-25 (unit No. 18)";"2024-09-02 13:14:15"
"RWSSD/2023-24/WS/WORK_INDENT1402/CALL-6";"PUBLISHED";"5837340";"PROVIDING FHTCS TO 100 HOUSEHOLDS IN KANNATHA HABITATION OF KANNATHA VILLAGE EMMENATHA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 100 HOUSEHOLDS IN KANNATHA HABITATION OF KANNATHA VILLAGE EMMENATHA G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:14:05"
"KREIS/2023-24/BD/WORK_INDENT163";"PUBLISHED";"104897931";"CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC BOYS HOSTEL AT SINDHANURU TOWN, SINDHANURU(T), RAICHUR(D) & CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC BOYS HOSTEL AT KOPPAL TOWN, KOPPAL (D),(PACKAGE-4),";"Karnataka Residential Educational Institutions Society";"KREIS Executive Engineer Section Bengaluru";"WORKS";"CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC BOYS HOSTEL AT SINDHANURU TOWN, SINDHANURU(T), RAICHUR(D) & CONSTRUCTION OF (SC) GOVERNMENT POST MATRIC BOYS HOSTEL AT KOPPAL TOWN, KOPPAL (D)(PACKAGE-4)";"2024-09-02 13:14:03"
"RWSSD/2023-24/WS/WORK_INDENT1403/CALL-6";"PUBLISHED";"5937235";"PROVIDING FHTCS TO 112 HOUSEHOLDS IN KUNIBANDE HABITATION OF KUNIBANDE VILLAGE AMBLIKAL G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 112 HOUSEHOLDS IN KUNIBANDE HABITATION OF KUNIBANDE VILLAGE AMBLIKAL G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:13:49"
"DMA/2023-24/EL/WORK_INDENT14406";"PUBLISHED";"2705837";"ANNUAL MAINTENANCE OF STREET LIGHTING SYSTEM IN WARD NO 1 TO 23 AT TMC CHANNARAYAPATNA";"Directorate of Municipal Administration";"DMA Town Municipal Council Channarayapattana";"WORKS";"ANNUAL MAINTENANCE OF STREET LIGHTING SYSTEM IN WARD NO 1 TO 23 AT TMC CHANNARAYAPATNA";"2024-09-02 13:13:27"
"RWSSD/2023-24/WS/WORK_INDENT1404/CALL-6";"PUBLISHED";"5951286";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN NADAMPALLI HABITATION OF T. NADAMPALLI VILLAGE AMBLIKAL G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 133 HOUSEHOLDS IN NADAMPALLI HABITATION OF T. NADAMPALLI VILLAGE AMBLIKAL G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:13:27"
"KFD/2023-24/OW/WORK_INDENT6461";"PUBLISHED";"1106600";"Maintenance of one year old plantation 20 Ha at metriki RF metriki village sy No. 76 & 132 Block - II of Ballari Range during the year 2024-25 (unit No. 19)";"Karnataka Forest Department";"KFD DCF Territorial Division Office Bellari";"WORKS";"Maintenance of one year old plantation 20 Ha at metriki RF metriki village sy No. 76 & 132 Block - II of Ballari Range during the year 2024-25 (unit No. 19)";"2024-09-02 13:13:19"
"RWSSD/2023-24/WS/WORK_INDENT1407/CALL-6";"PUBLISHED";"5988866";"PROVIDING FHTCS TO 165 HOUSEHOLDS IN KIRUMANI HABITATION OF KIRUMANI VILLAGE RAJENDRAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 165 HOUSEHOLDS IN KIRUMANI HABITATION OF KIRUMANI VILLAGE RAJENDRAHALLI G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:13:10"
"MI/2023-24/LI/WORK_INDENT1199";"PUBLISHED";"17178710";"Providing Lift Irrigation Scheme from Krishna river to the lands of farmers of Chikkud village in Athani Taluka & Koligudd village in Raibag Taluka, Dist-Belagavi (4702/2023-24)";"Minor Irrigation Department";"Minor Irrigation Division Belgaum";"WORKS";"Providing Lift Irrigation Scheme from Krishna river to the lands of farmers of Chikkud village in Athani Taluka & Koligudd village in Raibag Taluka, Dist-Belagavi (4702/2023-24)";"2024-09-02 13:12:59"
"RWSSD/2023-24/WS/WORK_INDENT1410/CALL-6";"PUBLISHED";"5766411";"PROVIDING FHTCS TO 200 HOUSEHOLDS IN PETHANDLAHALLI HABITATION OF PETHANDAHALLI VILLAGE BYRAKURU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 200 HOUSEHOLDS IN PETHANDLAHALLI HABITATION OF PETHANDAHALLI VILLAGE BYRAKURU G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:12:55"
"RWSSD/2023-24/WS/WORK_INDENT1412/CALL-6";"PUBLISHED";"6046940";"PROVIDING FHTCS TO 145 HOUSEHOLDS IN KAGGANAHALLI HABITATION OF KAGGANAHALLI VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"Rural Drinking Water and Sanitation Department";"RWSSD Division Office Kolar";"WORKS";"PROVIDING FHTCS TO 145 HOUSEHOLDS IN KAGGANAHALLI HABITATION OF KAGGANAHALLI VILLAGE MUDIGERE G.P OF MULBAGAL TALUK KOLAR DISTRICT BY AUGMENTATION AND RETROFITTING THROUGH SVS";"2024-09-02 13:12:38"
